brand_name,total_products,impressions,clicks,cart_adds,orders,units_sold,revenue,brand_ctr_pct,brand_click_to_cart_rate_pct,brand_click_to_purchase_rate_pct,revenue_per_impression,avg_price,avg_product_rating,total_catalog_reviews,total_loves,avg_return_rate_pct,avg_stockout_rate_pct,avg_positive_review_pct,avg_negative_review_pct,avg_ranking_score,hero_products,hidden_gems,high_visibility_low_conversion_products,return_review_risk_products,stockout_revenue_risk_products,brand_action_segment
ABBOTT,13,212.0,53.0,10.0,2.0,4.0,331.8,25.0,18.87,3.77,1.57,54.08,4.38,172.0,20676.0,7.69,16.02,0.0,0.0,2.57,0.0,2.0,0.0,1.0,0.0,Normal Brand
DEREK LAM 10 CROSBY,3,64.0,13.0,3.0,2.0,4.0,331.5,20.31,23.08,15.38,5.18,85.0,4.07,94.0,6993.0,0.0,0.37,0.0,0.0,2.68,0.0,0.0,0.0,0.0,0.0,Normal Brand
SUNDAY II SUNDAY,12,432.0,116.0,23.0,10.0,13.0,329.6,26.85,19.83,8.62,0.76,25.33,4.45,159.0,33927.0,10.42,0.41,0.0,0.0,3.21,1.0,1.0,0.0,1.0,0.0,Normal Brand
Hanni,8,262.0,75.0,13.0,6.0,10.0,327.6,28.63,17.33,8.0,1.25,28.75,4.66,713.0,22684.0,0.0,0.48,54.96,6.18,3.31,1.0,2.0,0.0,1.0,0.0,Normal Brand
GXVE BY GWEN STEFANI,16,474.0,109.0,18.0,9.0,14.0,325.2,23.0,16.51,8.26,0.69,24.63,4.43,2569.0,179641.0,0.0,7.24,0.0,0.0,2.95,0.0,3.0,0.0,0.0,0.0,Hidden Opportunity Brand
Mount Lai,9,185.0,44.0,7.0,3.0,7.0,320.4,23.78,15.91,6.82,1.73,42.22,4.21,869.0,192052.0,0.0,0.55,79.83,14.15,2.83,0.0,0.0,0.0,0.0,0.0,Normal Brand
Koh Gen Do,2,106.0,31.0,9.0,5.0,8.0,308.7,29.25,29.03,16.13,2.91,59.5,4.23,416.0,40802.0,0.0,1.23,44.19,4.22,3.88,1.0,0.0,0.0,0.0,0.0,Normal Brand
Calvin Klein,8,180.0,38.0,4.0,2.0,3.0,306.8,21.11,10.53,5.26,1.7,83.0,4.44,1296.0,45123.0,0.0,26.27,0.0,0.0,2.61,0.0,1.0,0.0,0.0,0.0,Normal Brand
Velour Lashes,14,618.0,162.0,25.0,7.0,11.0,300.7,26.21,15.43,4.32,0.49,27.14,4.28,3957.0,240295.0,0.0,1.43,0.0,0.0,2.74,1.0,1.0,0.0,0.0,0.0,Normal Brand
Kulfi,3,168.0,53.0,12.0,6.0,12.0,291.6,31.55,22.64,11.32,1.74,24.67,4.61,659.0,61105.0,0.0,0.64,0.0,0.0,3.97,1.0,1.0,0.0,0.0,0.0,Normal Brand
Fashion Fair,9,295.0,74.0,11.0,6.0,8.0,290.25,25.08,14.86,8.11,0.98,35.56,4.56,295.0,39936.0,2.22,2.92,0.0,0.0,2.83,1.0,1.0,0.0,0.0,0.0,Normal Brand
Artist Couture,12,545.0,127.0,14.0,5.0,9.0,279.0,23.3,11.02,3.94,0.51,30.58,4.09,728.0,168479.0,0.0,8.81,0.0,0.0,2.71,0.0,1.0,1.0,0.0,0.0,Normal Brand
Sephora Favorites,7,426.0,94.0,9.0,3.0,5.0,275.5,22.07,9.57,3.19,0.65,45.0,3.86,262.0,131592.0,0.0,42.97,0.0,0.0,2.37,0.0,1.0,0.0,0.0,0.0,Normal Brand
CLEAN RESERVE,24,470.0,114.0,13.0,4.0,5.0,271.0,24.26,11.4,3.51,0.58,61.88,4.2,3172.0,274113.0,0.0,8.81,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,Normal Brand
Mugler,13,276.0,47.0,8.0,3.0,5.0,266.5,17.03,17.02,6.38,0.97,96.69,4.32,14144.0,266351.0,0.0,31.95,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,Normal Brand
Lilly Lashes,18,626.0,132.0,24.0,7.0,12.0,256.35,21.09,18.18,5.3,0.41,26.67,3.94,7011.0,163195.0,0.0,28.71,0.0,0.0,2.56,0.0,3.0,1.0,0.0,0.0,Hidden Opportunity Brand
Chloé,11,280.0,66.0,11.0,2.0,2.0,252.0,23.57,16.67,3.03,0.9,101.45,4.39,8571.0,302441.0,0.0,10.91,0.0,0.0,2.8,0.0,2.0,0.0,0.0,0.0,Normal Brand
maude,12,520.0,136.0,23.0,11.0,19.0,238.2,26.15,16.91,8.09,0.46,32.67,4.74,1194.0,64630.0,0.0,0.78,0.0,0.0,3.12,2.0,1.0,0.0,0.0,0.0,Normal Brand
Ami Colé,9,275.0,82.0,18.0,5.0,8.0,238.0,29.82,21.95,6.1,0.87,26.78,4.68,249.0,53603.0,5.56,0.49,0.0,0.0,3.07,1.0,1.0,0.0,0.0,0.0,Normal Brand
TWEEZERMAN,18,318.0,72.0,15.0,6.0,12.0,231.0,22.64,20.83,8.33,0.73,20.78,3.99,2947.0,239640.0,0.0,0.46,2.05,3.07,2.48,0.0,1.0,0.0,1.0,0.0,Normal Brand
Bio Ionic,13,238.0,42.0,7.0,2.0,4.0,213.8,17.65,16.67,4.76,0.9,163.92,3.77,651.0,78249.0,0.0,15.68,0.0,0.0,2.1,0.0,1.0,0.0,0.0,0.0,Normal Brand
Grande Cosmetics,7,477.0,93.0,10.0,5.0,8.0,200.0,19.5,10.75,5.38,0.42,27.14,3.91,3253.0,147280.0,4.76,29.47,0.0,0.0,2.6,1.0,0.0,1.0,1.0,0.0,Normal Brand
Crown Affair,12,331.0,86.0,10.0,4.0,4.0,172.3,25.98,11.63,4.65,0.52,44.17,4.54,961.0,83829.0,0.0,0.62,0.0,0.0,3.01,0.0,1.0,0.0,0.0,0.0,Normal Brand
Violet Voss,6,107.0,27.0,7.0,4.0,5.0,164.9,25.23,25.93,14.81,1.54,37.33,4.66,615.0,142361.0,0.0,1.0,0.0,0.0,3.29,0.0,4.0,0.0,0.0,0.0,Hidden Opportunity Brand
TOCCA,17,323.0,60.0,5.0,2.0,2.0,160.0,18.58,8.33,3.33,0.5,49.59,4.36,2723.0,142059.0,0.0,53.44,0.0,0.0,2.3,0.0,2.0,0.0,0.0,0.0,Normal Brand
Glamnetic,7,120.0,34.0,4.0,3.0,5.0,159.0,28.33,11.76,8.82,1.33,27.86,3.8,291.0,58922.0,0.0,0.47,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0,Normal Brand
Aquis,1,20.0,3.0,3.0,2.0,3.0,150.0,15.0,100.0,66.67,7.5,50.0,4.9,42.0,3942.0,0.0,0.0,0.0,0.0,3.6,0.0,1.0,0.0,0.0,0.0,Normal Brand
Touchland,2,254.0,65.0,18.0,7.0,12.0,144.0,25.59,27.69,10.77,0.57,13.0,4.2,221.0,117754.0,0.0,0.69,0.0,0.0,3.63,1.0,0.0,0.0,0.0,0.0,Normal Brand
Deborah Lippmann,16,598.0,126.0,19.0,4.0,4.0,121.0,21.07,15.08,3.17,0.2,28.25,3.97,1051.0,203521.0,0.0,6.39,0.0,0.0,2.23,0.0,0.0,1.0,0.0,0.0,Normal Brand
Cinema Secrets,7,168.0,53.0,7.0,3.0,5.0,117.2,31.55,13.21,5.66,0.7,24.71,4.01,2519.0,251401.0,0.0,1.76,0.0,0.0,2.79,0.0,0.0,0.0,0.0,0.0,Normal Brand
Azzaro,2,38.0,8.0,1.0,1.0,1.0,96.9,21.05,12.5,12.5,2.55,116.0,4.72,642.0,2524.0,0.0,0.0,0.0,0.0,3.1,0.0,1.0,0.0,0.0,0.0,Normal Brand
Donna Karan,5,108.0,23.0,6.0,3.0,3.0,94.0,21.3,26.09,13.04,0.87,56.8,4.27,1260.0,66746.0,0.0,20.16,0.0,0.0,2.79,0.0,2.0,0.0,0.0,0.0,Normal Brand
DedCool,16,309.0,76.0,14.0,3.0,3.0,92.0,24.6,18.42,3.95,0.3,53.25,4.46,516.0,40376.0,0.0,0.29,0.0,0.0,2.78,0.0,2.0,0.0,0.0,0.0,Normal Brand
SIMIHAZE BEAUTY,7,102.0,32.0,6.0,2.0,2.0,77.0,31.37,18.75,6.25,0.75,33.57,3.32,269.0,32584.0,0.0,0.55,0.0,0.0,3.01,0.0,1.0,0.0,0.0,0.0,Normal Brand
Viori,5,115.0,23.0,5.0,2.0,2.0,75.0,20.0,21.74,8.7,0.65,24.6,4.61,1180.0,51161.0,0.0,0.05,0.0,0.0,2.84,0.0,2.0,0.0,0.0,0.0,Normal Brand
World of Chris Collins,12,190.0,41.0,4.0,1.0,1.0,50.0,21.58,9.76,2.44,0.26,106.67,4.22,83.0,17185.0,0.0,0.05,0.0,0.0,2.3,0.0,1.0,0.0,0.0,0.0,Normal Brand
Christophe Robin,3,115.0,14.0,2.0,1.0,1.0,47.7,12.17,14.29,7.14,0.41,43.67,3.15,1171.0,38634.0,0.0,66.67,0.0,0.0,2.17,0.0,0.0,1.0,0.0,0.0,Normal Brand
Grace Eleyae,10,204.0,51.0,3.0,2.0,3.0,38.0,25.0,5.88,3.92,0.19,27.0,4.61,496.0,37243.0,0.0,0.6,0.0,0.0,2.75,0.0,2.0,0.0,0.0,0.0,Normal Brand
54 Thrones,4,85.0,16.0,2.0,1.0,1.0,38.0,18.82,12.5,6.25,0.45,39.75,4.16,464.0,33687.0,0.0,50.34,0.0,0.0,2.31,0.0,0.0,0.0,0.0,0.0,Normal Brand
Rosebud Perfume Co.,6,138.0,34.0,9.0,4.0,4.0,29.0,24.64,26.47,11.76,0.21,7.5,4.39,12532.0,271506.0,16.67,0.73,84.4,9.01,3.4,0.0,3.0,0.0,1.0,0.0,Hidden Opportunity Brand
DUO,1,30.0,9.0,3.0,2.0,3.0,27.0,30.0,33.33,22.22,0.9,9.0,4.09,554.0,40015.0,0.0,0.0,0.0,0.0,4.15,0.0,0.0,0.0,0.0,0.0,Normal Brand
Evian,3,61.0,26.0,2.0,1.0,1.0,21.15,42.62,7.69,3.85,0.35,18.17,4.55,2025.0,69717.0,0.0,2.65,89.99,4.97,3.43,0.0,1.0,0.0,0.0,0.0,Normal Brand
The Original MakeUp Eraser,7,134.0,22.0,4.0,1.0,1.0,20.0,16.42,18.18,4.55,0.15,19.71,4.45,2694.0,142693.0,0.0,14.83,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,Normal Brand
The Phluid Project,9,145.0,43.0,7.0,1.0,1.0,19.0,29.66,16.28,2.33,0.13,23.89,4.33,89.0,9485.0,0.0,0.97,0.0,0.0,2.74,0.0,0.0,0.0,0.0,0.0,Normal Brand
Viseart,2,34.0,7.0,3.0,1.0,1.0,19.0,20.59,42.86,14.29,0.56,24.5,3.98,120.0,26946.0,0.0,0.41,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,Normal Brand
Melanin Haircare,5,114.0,26.0,3.0,1.0,1.0,17.0,22.81,11.54,3.85,0.15,23.4,4.52,183.0,31520.0,0.0,0.22,0.0,0.0,2.86,0.0,1.0,0.0,0.0,0.0,Normal Brand
Capri Blue,2,25.0,6.0,2.0,1.0,1.0,14.0,24.0,33.33,16.67,0.56,18.0,4.0,4.0,3340.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,Normal Brand
House of Lashes,4,75.0,14.0,3.0,1.0,1.0,9.0,18.67,21.43,7.14,0.12,14.25,4.12,1529.0,110860.0,0.0,51.03,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0,Normal Brand
CANOPY,3,81.0,18.0,0.0,0.0,0.0,0.0,22.22,0.0,0.0,0.0,93.33,4.81,84.0,8347.0,0.0,1.46,27.05,3.38,2.63,0.0,0.0,0.0,0.0,0.0,Normal Brand
Jillian Dempsey,1,15.0,4.0,0.0,0.0,0.0,0.0,26.67,0.0,0.0,0.0,195.0,4.43,67.0,10451.0,0.0,1.37,86.57,11.94,2.8,0.0,0.0,0.0,0.0,0.0,Normal Brand
JIMMY CHOO,2,28.0,6.0,1.0,0.0,0.0,0.0,21.43,16.67,0.0,0.0,115.0,4.39,6.0,2852.0,0.0,50.0,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0,Normal Brand
Atelier Cologne,2,37.0,2.0,0.0,0.0,0.0,0.0,5.41,0.0,0.0,0.0,142.0,4.36,668.0,31186.0,0.0,100.0,0.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0,Normal Brand
Skin Laundry,3,177.0,24.0,1.0,0.0,0.0,0.0,13.56,4.17,0.0,0.0,15.67,4.0,206.0,12166.0,0.0,100.0,72.81,16.45,1.67,0.0,0.0,2.0,0.0,0.0,Normal Brand
Christian Louboutin,1,20.0,4.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,90.0,4.36,102.0,49836.0,0.0,1.37,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,Normal Brand
Google,1,20.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,129.0,4.61,23.0,3409.0,0.0,100.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,Normal Brand
Eight & Bob,1,14.0,2.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,175.0,3.5,2.0,394.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,Normal Brand
Juicy Couture,4,98.0,24.0,1.0,0.0,0.0,0.0,24.49,4.17,0.0,0.0,76.25,4.6,2001.0,98721.0,0.0,0.07,0.0,0.0,2.69,0.0,0.0,0.0,0.0,0.0,Normal Brand
RIES,2,51.0,16.0,2.0,0.0,0.0,0.0,31.37,12.5,0.0,0.0,18.0,4.4,174.0,15165.0,50.0,2.47,0.0,0.0,2.9,0.0,0.0,0.0,1.0,0.0,Normal Brand
DOMINIQUE COSMETICS,1,20.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,49.0,4.79,14.0,3494.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,Normal Brand
GLO Science,6,132.0,31.0,3.0,0.0,0.0,0.0,23.48,9.68,0.0,0.0,59.5,4.38,1339.0,174974.0,0.0,0.23,68.85,9.53,2.46,0.0,0.0,0.0,0.0,0.0,Normal Brand
OTHERLAND,15,248.0,49.0,6.0,0.0,0.0,0.0,19.76,12.24,0.0,0.0,36.0,3.87,120.0,22363.0,0.0,20.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,Normal Brand
HERETIC,8,138.0,33.0,3.0,0.0,0.0,0.0,23.91,9.09,0.0,0.0,115.0,3.77,130.0,25873.0,0.0,0.65,0.0,0.0,2.26,0.0,1.0,0.0,0.0,0.0,Normal Brand
Susteau,4,67.0,12.0,3.0,0.0,0.0,0.0,17.91,25.0,0.0,0.0,29.0,3.51,159.0,9646.0,25.0,25.28,0.0,0.0,1.94,0.0,0.0,0.0,1.0,0.0,Normal Brand
lilah b.,18,1492.0,182.0,2.0,0.0,0.0,0.0,12.2,1.1,0.0,0.0,35.11,4.1,1033.0,241894.0,0.0,94.44,7.85,1.76,1.85,0.0,0.0,9.0,0.0,0.0,Conversion Problem Brand
Erno Laszlo,3,280.0,32.0,0.0,0.0,0.0,0.0,11.43,0.0,0.0,0.0,66.67,4.76,2.0,2497.0,0.0,100.0,66.67,0.0,2.05,0.0,0.0,2.0,0.0,0.0,Normal Brand
Kopari,1,19.0,3.0,0.0,0.0,0.0,0.0,15.79,0.0,0.0,0.0,29.0,3.25,4.0,2937.0,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,Normal Brand
dpHUE,1,20.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,53.0,4.17,42.0,12732.0,0.0,100.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,Normal Brand
iluminage,1,17.0,2.0,0.0,0.0,0.0,0.0,11.76,0.0,0.0,0.0,449.0,3.67,100.0,14204.0,0.0,100.0,69.0,29.0,1.2,0.0,0.0,0.0,1.0,0.0,Normal Brand
BERDOUES,1,27.0,9.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,88.0,3.43,7.0,985.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,Normal Brand
L'Oreal Professionnel,3,47.0,12.0,3.0,0.0,0.0,0.0,25.53,25.0,0.0,0.0,250.0,4.29,877.0,16933.0,0.0,0.55,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,Normal Brand
Overose,2,34.0,13.0,0.0,0.0,0.0,0.0,38.24,0.0,0.0,0.0,58.0,2.85,14.0,3787.0,0.0,0.14,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,Normal Brand
Rahua,2,41.0,4.0,0.0,0.0,0.0,0.0,9.76,0.0,0.0,0.0,45.0,3.85,174.0,7647.0,0.0,100.0,0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0,Normal Brand
philosophy,1,22.0,2.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,24.0,4.29,0.0,1266.0,0.0,100.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,Normal Brand
Good Dye Young,2,109.0,13.0,0.0,0.0,0.0,0.0,11.93,0.0,0.0,0.0,18.0,3.06,389.0,24358.0,0.0,0.55,0.0,0.0,1.4,0.0,0.0,1.0,0.0,0.0,Normal Brand
Blinc,5,101.0,26.0,1.0,0.0,0.0,0.0,25.74,3.85,0.0,0.0,26.0,3.77,6039.0,68391.0,0.0,1.2,0.0,0.0,2.59,0.0,0.0,0.0,0.0,0.0,Normal Brand
The Maker,10,124.0,17.0,0.0,0.0,0.0,0.0,13.71,0.0,0.0,0.0,132.5,4.29,0.0,292.0,0.0,100.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,Normal Brand
Narciso Rodriguez,1,19.0,1.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,70.0,4.39,61.0,10488.0,0.0,100.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,Normal Brand
